Registro de datos 1: nombre=usuario0, edad=20, ciudad=Salto
Registro de datos 437: nombre=usuario436, edad=56, ciudad=Salto
Registro de datos 438: nombre=usuario437, edad=57, ciudad=Salto
Registro de datos 439: nombre=usuario438, edad=58, ciudad=Salto
Registro de datos 440: nombre=usuario439, edad=59, ciudad=Salto
Registro de datos 441: nombre=usuario440, edad=60, ciudad=Salto
Registro de datos 442: nombre=usuario441, edad=61, ciudad=Salto
Registro de datos 443: nombre=usuario442, edad=62, ciudad=Salto
Registro de datos 444: nombre=usuario443, edad=63, ciudad=Salto
Registro de datos 445: nombre=usuario444, edad=64, ciudad=Salto
Registro de datos 446: nombre=usuario445, edad=65, ciudad=Salto
Registro de datos 447: nombre=usuario446, edad=66, ciudad=Salto
Registro de datos 448: nombre=usuario447, edad=67, ciudad=Salto
Registro de datos 449: nombre=usuario448, edad=68, ciudad=Salto
Registro de datos 450: nombre=usuario449, edad=69, ciudad=Salto
Registro de datos 451: nombre=usuario450, edad=20, ciudad=Salto
Registro de datos 452: nombre=usuario451, edad=21, ciudad=Salto
Registro de datos 453: nombre=usuario452, edad=22, ciudad=Salto
Registro de datos 454: nombre=usuario453, edad=23, ciudad=Salto
Registro de datos 455: nombre=usuario454, edad=24, ciudad=Salto
Registro de datos 456: nombre=usuario455, edad=25, ciudad=Salto
Registro de datos 457: nombre=usuario456, edad=26, ciudad=Salto
Registro de datos 458: nombre=usuario457, edad=27, ciudad=Salto
Registro de datos 459: nombre=usuario458, edad=28, ciudad=Salto
Registro de datos 460: nombre=usuario459, edad=29, ciudad=Salto
Registro de datos 461: nombre=usuario460, edad=30, ciudad=Salto
Registro de datos 462: nombre=usuario461, edad=31, ciudad=Salto
Registro de datos 463: nombre=usuario462, edad=32, ciudad=Salto
Registro de datos 464: nombre=usuario463, edad=33, ciudad=Salto
Registro de datos 465: nombre=usuario464, edad=34, ciudad=Salto
Registro de datos 466: nombre=usuario465, edad=35, ciudad=Salto
Registro de datos 467: nombre=usuario466, edad=36, ciudad=Salto
Registro de datos 468: nombre=usuario467, edad=37, ciudad=Salto
Registro de datos 469: nombre=usuario468, edad=38, ciudad=Salto
Registro de datos 470: nombre=usuario469, edad=39, ciudad=Salto
Registro de datos 471: nombre=usuario470, edad=40, ciudad=Salto
Registro de datos 472: nombre=usuario471, edad=41, ciudad=Salto
Registro de datos 473: nombre=usuario472, edad=42, ciudad=Salto
Registro de datos 474: nombre=usuario473, edad=43, ciudad=Salto
Registro de datos 475: nombre=usuario474, edad=44, ciudad=Salto
Registro de datos 476: nombre=usuario475, edad=45, ciudad=Salto
Registro de datos 477: nombre=usuario476, edad=46, ciudad=Salto
Registro de datos 478: nombre=usuario477, edad=47, ciudad=Salto
Registro de datos 479: nombre=usuario478, edad=48, ciudad=Salto
Registro de datos 480: nombre=usuario479, edad=49, ciudad=Salto
Registro de datos 481: nombre=usuario480, edad=50, ciudad=Salto
Registro de datos 482: nombre=usuario481, edad=51, ciudad=Salto
Registro de datos 483: nombre=usuario482, edad=52, ciudad=Salto
Registro de datos 484: nombre=usuario483, edad=53, ciudad=Salto
Registro de datos 485: nombre=usuario484, edad=54, ciudad=Salto
Registro de datos 486: nombre=usuario485, edad=55, ciudad=Salto
Registro de datos 487: nombre=usuario486, edad=56, ciudad=Salto
Registro de datos 488: nombre=usuario487, edad=57, ciudad=Salto
Registro de datos 489: nombre=usuario488, edad=58, ciudad=Salto
Registro de datos 490: nombre=usuario489, edad=59, ciudad=Salto
Registro de datos 491: nombre=usuario490, edad=60, ciudad=Salto
Registro de datos 492: nombre=usuario491, edad=61, ciudad=Salto
Registro de datos 493: nombre=usuario492, edad=62, ciudad=Salto
Registro de datos 494: nombre=usuario493, edad=63, ciudad=Salto
Registro de datos 495: nombre=usuario494, edad=64, ciudad=Salto
Registro de datos 496: nombre=usuario495, edad=65, ciudad=Salto
Registro de datos 497: nombre=usuario496, edad=66, ciudad=Salto
Registro de datos 498: nombre=usuario497, edad=67, ciudad=Salto
Registro de datos 499: nombre=usuario498, edad=68, ciudad=Salto
Registro de datos 500: nombre=usuario499, edad=69, ciudad=Salto
